geo,pososto,simaia_ad,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos,imerominia
EU27_2020,33.5,e,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2016-01-01
EU27_2020,31.0,e,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2017-01-01
EU27_2020,29.2,e,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2018-01-01
EU27_2020,28.0,,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2019-01-01
EU27_2020,28.7,,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2020-01-01
EU27_2020,27.7,,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2021-01-01
EU27_2020,28.6,,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2022-01-01
EU27_2020,28.5,,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2023-01-01
EU27_2020,27.0,,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2024-01-01
EU27_2020,27.5,,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27,2025-01-01
FI,19.9,,Φινλανδία,True,False,False,False,Υπόλοιπες,2004-01-01
FI,19.9,,Φινλανδία,True,False,False,False,Υπόλοιπες,2005-01-01
FI,18.7,,Φινλανδία,True,False,False,False,Υπόλοιπες,2006-01-01
FI,18.2,,Φινλανδία,True,False,False,False,Υπόλοιπες,2007-01-01
FI,18.2,,Φινλανδία,True,False,False,False,Υπόλοιπες,2008-01-01
FI,14.8,,Φινλανδία,True,False,False,False,Υπόλοιπες,2009-01-01
FI,14.7,,Φινλανδία,True,False,False,False,Υπόλοιπες,2010-01-01
FI,14.8,,Φινλανδία,True,False,False,False,Υπόλοιπες,2011-01-01
FI,15.3,,Φινλανδία,True,False,False,False,Υπόλοιπες,2012-01-01
FI,14.9,,Φινλανδία,True,False,False,False,Υπόλοιπες,2013-01-01
FI,13.6,,Φινλανδία,True,False,False,False,Υπόλοιπες,2014-01-01
FI,13.3,,Φινλανδία,True,False,False,False,Υπόλοιπες,2015-01-01
FI,14.2,,Φινλανδία,True,False,False,False,Υπόλοιπες,2016-01-01
FI,15.4,,Φινλανδία,True,False,False,False,Υπόλοιπες,2017-01-01
FI,13.3,,Φινλανδία,True,False,False,False,Υπόλοιπες,2018-01-01
FI,11.8,,Φινλανδία,True,False,False,False,Υπόλοιπες,2019-01-01
FI,12.6,,Φινλανδία,True,False,False,False,Υπόλοιπες,2020-01-01
FI,10.1,,Φινλανδία,True,False,False,False,Υπόλοιπες,2021-01-01
FI,12.0,,Φινλανδία,True,False,False,False,Υπόλοιπες,2022-01-01
FI,12.9,,Φινλανδία,True,False,False,False,Υπόλοιπες,2023-01-01
FI,14.5,,Φινλανδία,True,False,False,False,Υπόλοιπες,2024-01-01
FI,14.8,,Φινλανδία,True,False,False,False,Υπόλοιπες,2025-01-01
FR,33.4,,Γαλλία,True,False,False,False,Υπόλοιπες,2004-01-01
FR,31.3,,Γαλλία,True,False,False,False,Υπόλοιπες,2005-01-01
FR,31.4,,Γαλλία,True,False,False,False,Υπόλοιπες,2006-01-01
FR,29.9,,Γαλλία,True,False,False,False,Υπόλοιπες,2007-01-01
FR,32.0,,Γαλλία,True,False,False,False,Υπόλοιπες,2008-01-01
FR,30.9,,Γαλλία,True,False,False,False,Υπόλοιπες,2009-01-01
FR,28.7,,Γαλλία,True,False,False,False,Υπόλοιπες,2010-01-01
FR,27.7,,Γαλλία,True,False,False,False,Υπόλοιπες,2011-01-01
FR,27.8,,Γαλλία,True,False,False,False,Υπόλοιπες,2012-01-01
FR,27.7,,Γαλλία,True,False,False,False,Υπόλοιπες,2013-01-01
FR,24.9,,Γαλλία,True,False,False,False,Υπόλοιπες,2014-01-01
FR,24.0,,Γαλλία,True,False,False,False,Υπόλοιπες,2015-01-01
FR,23.4,,Γαλλία,True,False,False,False,Υπόλοιπες,2016-01-01
FR,23.1,,Γαλλία,True,False,False,False,Υπόλοιπες,2017-01-01
FR,22.6,,Γαλλία,True,False,False,False,Υπόλοιπες,2018-01-01
FR,22.2,,Γαλλία,True,False,False,False,Υπόλοιπες,2019-01-01
FR,22.3,b,Γαλλία,True,False,False,False,Υπόλοιπες,2020-01-01
FR,21.2,,Γαλλία,True,False,False,False,Υπόλοιπες,2021-01-01
FR,25.4,b,Γαλλία,True,False,False,False,Υπόλοιπες,2022-01-01
FR,25.1,,Γαλλία,True,False,False,False,Υπόλοιπες,2023-01-01
FR,22.0,,Γαλλία,True,False,False,False,Υπόλοιπες,2024-01-01
FR,23.2,,Γαλλία,True,False,False,False,Υπόλοιπες,2025-01-01
HR,67.3,,Κροατία,True,False,False,False,Υπόλοιπες,2010-01-01
HR,68.9,,Κροατία,True,False,False,False,Υπόλοιπες,2011-01-01
HR,71.4,,Κροατία,True,False,False,False,Υπόλοιπες,2012-01-01
HR,70.5,,Κροατία,True,False,False,False,Υπόλοιπες,2013-01-01
HR,70.1,,Κροατία,True,False,False,False,Υπόλοιπες,2014-01-01
HR,65.8,,Κροατία,True,False,False,False,Υπόλοιπες,2015-01-01
HR,61.2,,Κροατία,True,False,False,False,Υπόλοιπες,2016-01-01
HR,58.2,,Κροατία,True,False,False,False,Υπόλοιπες,2017-01-01
HR,51.3,,Κροατία,True,False,False,False,Υπόλοιπες,2018-01-01
HR,48.6,,Κροατία,True,False,False,False,Υπόλοιπες,2019-01-01
HR,49.4,,Κροατία,True,False,False,False,Υπόλοιπες,2020-01-01
HR,42.1,,Κροατία,True,False,False,False,Υπόλοιπες,2021-01-01
HR,41.7,,Κροατία,True,False,False,False,Υπόλοιπες,2022-01-01
HR,39.4,,Κροατία,True,False,False,False,Υπόλοιπες,2023-01-01
HR,34.7,,Κροατία,True,False,False,False,Υπόλοιπες,2024-01-01
HR,32.6,,Κροατία,True,False,False,False,Υπόλοιπες,2025-01-01
HU,66.3,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2005-01-01
HU,65.8,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2006-01-01
HU,65.0,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2007-01-01
HU,66.6,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2008-01-01
HU,65.9,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2009-01-01
HU,64.9,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2010-01-01
HU,66.3,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2011-01-01
HU,67.3,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2012-01-01
HU,67.2,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2013-01-01
HU,59.6,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2014-01-01
HU,55.3,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2015-01-01
HU,50.7,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2016-01-01
