geo,arxi,eisodima_2024,etos_vasis,metavoli,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos
DE,27444.75,28891.0,2015,5.3,Γερμανία,True,False,False,False,Υπόλοιπες
EA20,22801.568,25108.0,2015,10.1,EA20,False,False,False,False,Υπόλοιπες
EE,13408.395,17146.0,2015,27.9,Εσθονία,True,False,False,False,Υπόλοιπες
EL,8948.25,11700.0,2015,30.8,Ελλάδα,True,True,True,False,Ελλάδα
ES,16872.7773,20367.0,2015,20.7,Ισπανία,True,True,False,False,Υπόλοιπες
EU27_2020,20548.8049,22939.0,2015,11.6,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27
FI,28339.795,29740.0,2015,4.9,Φινλανδία,True,False,False,False,Υπόλοιπες
FR,26769.9577,26459.0,2015,-1.2,Γαλλία,True,False,False,False,Υπόλοιπες
HR,7639.8344,15057.0,2015,97.1,Κροατία,True,False,False,False,Υπόλοιπες
IE,26917.536,35138.0,2015,30.5,Ιρλανδία,True,True,False,False,Υπόλοιπες
IT,19870.081,22062.0,2015,11.0,Ιταλία,True,True,False,False,Υπόλοιπες
LT,8512.0955,13982.0,2015,64.3,Λιθουανία,True,False,False,False,Υπόλοιπες
LU,40975.7157,50046.0,2015,22.1,Λουξεμβούργο,True,False,False,False,Υπόλοιπες
LV,9249.617999999999,13983.0,2015,51.2,Λετονία,True,False,False,False,Υπόλοιπες
MT,16740.7398,22034.0,2015,31.6,Μάλτα,True,False,False,False,Υπόλοιπες
NL,29989.3736,34466.0,2015,14.9,Ολλανδία,True,False,False,False,Υπόλοιπες
PT,10727.213,14465.0,2015,34.8,Πορτογαλία,True,True,False,False,Υπόλοιπες
SI,15762.5349,20416.0,2015,29.5,Σλοβενία,True,False,False,False,Υπόλοιπες
SK,9951.7467,12990.0,2015,30.5,Σλοβακία,True,False,False,False,Υπόλοιπες
BG,8482.1369,17333.0,2015,104.3,Βουλγαρία,True,False,False,False,Υπόλοιπες
CZ,324780.428,381800.0,2015,17.6,Τσεχία,True,False,False,False,Υπόλοιπες
DK,254639.37300000002,269953.0,2015,6.0,Δανία,True,False,False,False,Υπόλοιπες
HU,2461766.7936,3475409.0,2015,41.2,Ουγγαρία,True,False,False,False,Υπόλοιπες
NO,479533.99400000006,487522.0,2015,1.7,Νορβηγία,False,False,False,False,Υπόλοιπες
PL,36606.966,61976.00000000001,2015,69.3,Πολωνία,True,False,False,False,Υπόλοιπες
RO,16316.2044,40725.0,2015,149.6,Ρουμανία,True,False,False,False,Υπόλοιπες
RS,443629.6,913478.0,2015,105.9,Σερβία,False,False,False,False,Υπόλοιπες
SE,303584.0954,326671.00000000006,2015,7.6,Σουηδία,True,False,False,False,Υπόλοιπες
TR,102741.335,214811.0,2015,109.1,Τουρκία,False,False,False,False,Υπόλοιπες
AT,33314.13862404188,36546.00000000001,2019,9.7,Αυστρία,True,False,False,False,Υπόλοιπες
BE,31464.97318363181,31299.0,2019,-0.5,Βέλγιο,True,False,False,False,Υπόλοιπες
CY,19775.638916451677,22066.0,2019,11.6,Κύπρος,True,True,False,False,Υπόλοιπες
DE,31801.251184834124,28891.0,2019,-9.2,Γερμανία,True,False,False,False,Υπόλοιπες
EA20,24862.268537074146,25108.0,2019,1.0,EA20,False,False,False,False,Υπόλοιπες
EE,17163.464253393664,17146.0,2019,-0.1,Εσθονία,True,False,False,False,Υπόλοιπες
EL,10225.07427288698,11700.0,2019,14.4,Ελλάδα,True,True,True,False,Ελλάδα
ES,18977.39487818914,20367.0,2019,7.3,Ισπανία,True,True,False,False,Υπόλοιπες
EU27_2020,22579.91212871287,22939.0,2019,1.6,Ευρωπαϊκή Ένωση (27),False,False,False,True,ΕΕ27
FI,29488.962154856148,29740.0,2019,0.9,Φινλανδία,True,False,False,False,Υπόλοιπες
FR,26012.4866126727,26459.0,2019,1.7,Γαλλία,True,False,False,False,Υπόλοιπες
HR,9956.820652173912,15057.0,2019,51.2,Κροατία,True,False,False,False,Υπόλοιπες
IE,31424.389380530974,35138.0,2019,11.8,Ιρλανδία,True,True,False,False,Υπόλοιπες
IT,21410.795542635657,22062.0,2019,3.0,Ιταλία,True,True,False,False,Υπόλοιπες
LT,11854.377820407417,13982.0,2019,17.9,Λιθουανία,True,False,False,False,Υπόλοιπες
LU,44574.680260549416,50046.0,2019,12.3,Λουξεμβούργο,True,False,False,False,Υπόλοιπες
LV,11819.217174974661,13983.0,2019,18.3,Λετονία,True,False,False,False,Υπόλοιπες
MT,18917.430358158046,22034.0,2019,16.5,Μάλτα,True,False,False,False,Υπόλοιπες
NL,32176.85687275477,34466.0,2019,7.1,Ολλανδία,True,False,False,False,Υπόλοιπες
PT,12720.277697425514,14465.0,2019,13.7,Πορτογαλία,True,True,False,False,Υπόλοιπες
SI,17973.088954428695,20416.0,2019,13.6,Σλοβενία,True,False,False,False,Υπόλοιπες
SK,11718.315715226183,12990.0,2019,10.9,Σλοβακία,True,False,False,False,Υπόλοιπες
BG,11824.19849509477,17333.0,2019,46.6,Βουλγαρία,True,False,False,False,Υπόλοιπες
CZ,384400.0,381800.0,2019,-0.7,Τσεχία,True,False,False,False,Υπόλοιπες
DK,266164.68,269953.0,2019,1.4,Δανία,True,False,False,False,Υπόλοιπες
HU,2994382.3862598212,3475409.0,2019,16.1,Ουγγαρία,True,False,False,False,Υπόλοιπες
NO,481391.3237668162,487522.0,2019,1.3,Νορβηγία,False,False,False,False,Υπόλοιπες
PL,48916.34064885496,61976.00000000001,2019,26.7,Πολωνία,True,False,False,False,Υπόλοιπες
RO,28069.14008321775,40725.0,2019,45.1,Ρουμανία,True,False,False,False,Υπόλοιπες
RS,602177.9411764706,913478.0,2019,51.7,Σερβία,False,False,False,False,Υπόλοιπες
SE,315490.17020480684,326671.00000000006,2019,3.5,Σουηδία,True,False,False,False,Υπόλοιπες
TR,112290.08640049906,214811.0,2019,91.3,Τουρκία,False,False,False,False,Υπόλοιπες
